0.00800176, 0, 0, 0.00400088, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
nan, nan, nan, -nan(ind), -nan(ind), -nan(ind), 
-nan(ind), -nan(ind), -nan(ind), nan, nan, nan, 
